,Team,Goals,Performance
0,Croatia,4.0,Average
1,Czech Republic,4.0,Average
2,Denmark,4.0,Average
3,England,5.0,Average
4,France,3.0,Average
5,Germany,10.0,Above Average
6,Greece,5.0,Average
7,Italy,6.0,Above Average
8,Netherlands,2.0,Below Avg
9,Poland,2.0,Below Avg
10,Portugal,6.0,Above Average
11,Republic of Ireland,1.0,Below Avg
12,Russia,5.0,Average
13,Spain,12.0,Excellent
14,Sweden,5.0,Average
15,Ukraine,2.0,Below Avg
16,,,
17,,,
18,,,
19,https://towardsdatascience.com/data-handling-using-pandas-machine-learning-in-real-life-be76a697418c,,
